Country,Latitude,Longitude
Afganistán,65,55
Albania,43,18
Alemania,48,8
Andorra,42.5422,1.5914
Angola,6,17.5818
Antigua y Barbuda,37,-59.85
Arabia Saudita,35,40
Argelia,32,2.6825
Argentina,-31.5807,-57
Armenia,49,39
Australia,-2.012,133.77
Austria,47.5847,12
Azerbaiyán,51,40
Bahamas,65,-70
Bangladesh,29.0012,90.3563
Barbados,32,-60
Baréin,39.5,47.7
Bélgica,48,3
Belice,25.1903,-88.7141
Benín,9.6486,2.3384
Bielorrusia,53.5308,28.0284
Birmania,21.2369,96501
Bolivia,-16.7156,-64.6743
Bosnia y Herzegovina,44.1624,17.7899
Botsuana,-22.1802,23.8028
Brasil,2,-53
Brunéi,4.5553,114.6023
Bulgaria,42.7546,25235
Burkina Faso,12.2722,-1.7352
Burundi,-3.3741,29.8912
Bután,27383,90.4666
Cabo Verde,15.9412,-23.9802
Camboya,12.7146,104.9152
Camerún,5.6658,12.7363
Canadá,57.6978,-101.8126
Catar,25.2708,51.1943
Chad,15344,18.6701
Chile,-22.9087,-69.1554
China,32.3102,104.1494
Chipre,35.0284,33.1739
Ciudad del Vaticano,41.9035,12.4528
Colombia,3.8983,-73.0781
Comoras,-11.6063,43.3442
Corea del Norte,40.1298,127.1899
Corea del Sur,36467,127879
Costa de Marfil,7.6188,-5.5466
Costa Rica,9.9959,-84.1701
Croacia,43756,16.4894
Cuba,21.9946,-79.3227
Dinamarca,56.0271,9.3193
Dominica,15.4111,-61.3474
Ecuador,-1.4201,-78.3577
Egipto,26.5649,29759
El Salvador,13.7413,-88887
Emiratos Árabes Unidos,23.4656,53.9824
Eritrea,16.1236,38132
Eslovaquia,48.7042,19.4741
Eslovenia,46.1277,14.8169
España,40.3816,-4
Estados Unidos,39537,-99.1943
Estonia,58.6709,25.8548
Etiopía,8.6307,39.6403
Filipinas,11.7347,122.8671
Finlandia,64.4974,26.2795
Fiyi,-17.8274,177.9517
Francia,45,2
Gabón,-0.6157,11.7646
Gambia,13.3811,-16.0613
Georgia,42.0572,43.2962
Ghana,7.9616,-1.1985
Granada,12.1196,-61.6809
Grecia,39.4982,22.5402
Guatemala,15.0125,-91.2288
Guyana,4803,-58.9618
Guinea,11.0087,-11.3051
Guinea ecuatorial,1.5921,10.4688
Guinea-Bisáu,12.1029,-14.4508
Haití,18.3858,-72.3646
Honduras,14.8298,-86.6222
Hungría,47.1616,19.4066
India,22349,79.4676
Indonesia,-2.2261,117.2774
Irak,33.0425,43.7557
Irán,32.5758,54.3046
Irlanda,53.1794,-8.0902
Islandia,62,-12
Islas Marshall,6.7211,168.5277
Islas Salomón,-8.8995,159.6008
Israel,31.0661,34.6195
Italia,42.837,12.5322
Jamaica,18.1775,-77.3447
Japón,45,144
Jordania,30.6751,37079
Kazajistán,48.1522,67.3115
Kenia,0.5355,37.8606
Kirguistán,41.4529,74.5847
Kiribati,1.8716,-157.4016
Kuwait,29.4908,47.4932
Laos,20.2365,101.9624
Lesoto,-29.5776,28.2551
Letonia,56.6829,26382
Líbano,33.9289,35.8942
Liberia,6.4433,-9.3276
Libia,27.0102,18.0429
Liechtenstein,47.1383,9.5534
Lituania,55.3351,23.9197
Luxemburgo,49771,6.0943
Madagascar,-19408,46.6955
Malasia,2.8757,114.4128
Malaui,-15.2608,35.1203
Maldivas,3.8486,73.2207
Malí,17.3709,-3.5043
Malta,35886,14.4312
Marruecos,31.8381,-6.2981
Mauricio,-20.2772,57576
Mauritania,20.2616,-10.3164
México,23.9467,-102.5173
Micronesia,6.8797,158.2287
Moldavia,47.2109,28.4593
Mónaco,43.7342,7.4188
Mongolia,46.8315,103.0489
Montenegro,42.7721,19269
Mozambique,-14313,38.1448
Namibia,-22.1429,17.2178
Nauru,-0.5275,166.9333
Nepal,28.2613,83.9573
Nicaragua,12.8404,-85.0476
Níger,17.4338,9413
Nigeria,9.5853,8.0851
Noruega,61.7103,11.4948
Nueva Zelanda,-44.0131,170.4403
Omán,21.9143,57.8117
Países Bajos,52.2932,5646
Pakistán,29.3982,68.8049
Palaos,7.4841,134.5611
Panamá,8.8084,-80.1223
Papúa Nueva Guinea,-6.5913,144.2141
Paraguay,-23.2139,-58.4232
Perú,-13.5597,-71.8526
Polonia,52.1309,19.4066
Portugal,39.6868,-7.9703
Reino Unido,53.2786,-2.1086
República Centroafricana,7.0012,20.9507
República Checa,49.7382,15.3276
República de Macedonia,41.5981,21.6966
República del Congo,-839,15.2674
República Democrática del Congo,-2.8703,23.6559
República Dominicana,18.9012,-70.5106
República Sudafricana,-29.9966,24.6736
Ruanda,-1.9764,29.9308
Rumanía,45.8361,22
Rusia,61.6334,99124
Samoa,-13621,-172.4412
San Cristóbal y Nieves,17.3517,-62.7818
San Marino,43.9314,12471
San Vicente y las Granadinas,13.2531,-61.1881
Santa Lucía,13.8898,-60.97
Santo Tomé y Príncipe,0.2355,6.5977
Senegal,14367,-14.4462
Serbia,44.0309,20.8129
Seychelles,-6.6938,51.8358
Sierra Leona,8.5529,-11.7847
Singapur,1.3262,103.8394
Siria,35.0077,38.4987
Somalia,4.3774,46.1155
Sri Lanka,7.6065,80.7079
Suazilandia,-26.5825,31.5155
Sudán,16.0343,29.9584
Sudán del Sur,7.2866,30.3267
Suecia,60.6418,14.4445
Suiza,46.9548,8.2129
Surinam,4.1428,-55.9045
Tailandia,15.1496,101.0305
Tanzania,-6.2595,34802
Tayikistán,38.5046,69.4202
Timor Oriental,-8.7999,125.9334
Togo,8548,0.9785
Tonga,-19859,-174.8472
Trinidad y Tobago,10.4364,-61267
Túnez,33.7421,9.5549
Turkmenistán,39.1055,59.4192
Turquía,38.9923,35.4709
Tuvalu,-7477,178.6907
Ucrania,49.0322,31.3628
Uganda,1.2776,32389
Uruguay,-32.8049,-56.0061
Uzbekistán,41.2698,64.3964
Vanuatu,-16.1959,167.7031
Venezuela,7.1089,-66.1542
Vietnam,11.5307,107.5701
Yemen,15.1859,45.2867
Yibuti,11.6033,42.2053
Zambia,-14.6349,27.8238
Zimbabue,-19.0019,29.8678
